,1 um,2.5 um,4 um,10 um,2.5/10,1/10
Background,0.3355635622529252,0.9124556906192849,1.3764135886421391,2.4000726379350636,0.3801783646866326,0.1398139193577208
Increase,25.81588708005255,275.1759683991795,549.3444777267023,758.2941937369211,0.3628881384981931,0.03404468515422787
2024-10-16 10:40:00,73.96647676275656,882.7425775001848,1942.4231621493177,2543.032211795976,0.3471220590150378,0.029085937810641775
2024-10-16 10:50:00,82.26150402434283,971.7858455824851,2155.38939641452,2799.709016860673,0.3471024451934484,0.029382162049320055
2024-10-16 11:00:00,88.16957639449215,1033.903171811169,2316.136253285512,2979.273202149549,0.34703201138626916,0.029594323988440436
2024-10-16 11:10:00,93.57920023249292,1090.2408620369672,2451.778622647338,3152.68298723776,0.3458136661536616,0.02968240086659739
2024-10-16 11:20:00,97.81963043604347,1134.5789162544613,2579.62326539748,3349.8408079014634,0.33869636837018174,0.02920127732795858
2024-10-16 11:30:00,101.01078597096513,1166.2222864836747,2676.35684162578,3491.924571677087,0.3339769409519537,0.028926966747867666
2024-10-16 11:40:00,103.64243714159879,1193.369513039554,2766.5934852859928,3617.7666567439433,0.3298635943849426,0.028648181868887835
2024-10-16 11:50:00,106.79923953297816,1222.8577999769857,2858.2992159527485,3770.1704208651995,0.3243508020776306,0.028327430224883383
2024-10-16 12:00:00,109.56188436103344,1250.6864583195782,2948.8515665437812,3915.1278789768744,0.3194497081526786,0.02798424157467491
2024-10-16 12:10:00,111.76991048895175,1275.261404541637,3027.7668021340287,4041.818983015682,0.3155167042117603,0.027653368683413424
2024-10-16 12:20:00,117.37036786115684,1332.6097584631666,3197.8011622462627,4287.089650842448,0.3108425218495951,0.027377633177811576
