,1 um,2.5 um,4 um,10 um,2.5/10,1/10
Background,0.012504312126979847,0.02195156701503413,0.023384939614153107,0.023384939614153107,0.9387053110775848,0.5347164599651969
Increase,0.5914077770975446,1.9834902568983388,2.932313864314978,8.523681736627271,0.23270346291498026,0.06938407549359747
2024-10-17 10:20:00,2.43187445604742,8.302407879486344,11.168200054733958,16.558696980104013,0.5013925847826096,0.1468638781764907
2024-10-17 10:30:00,2.762885271229316,9.301471630119277,12.358092928148722,16.828291231698906,0.5527282302197384,0.1641809755481863
2024-10-17 10:40:00,2.97818378603087,9.88900560701027,13.100538513283189,17.05851267955367,0.5797108923137966,0.17458636881048376
2024-10-17 10:50:00,3.127382916359678,10.255008242739358,13.623930733800695,17.436741039116303,0.5881264291150523,0.1793559306377228
2024-10-17 11:00:00,3.209712917484059,10.363710879861355,13.742945366580653,17.251127495526458,0.6007555669940333,0.18605815291298486
2024-10-17 11:10:00,3.2268218402057323,10.277919448323667,13.641457983317727,16.977801309972044,0.6053739975321099,0.19006123238763745
2024-10-17 11:20:00,3.1876970335719834,10.032642932161918,13.303355107149127,16.477916402927576,0.608853855477714,0.19345267663851212
2024-10-17 11:30:00,3.113886043597116,9.679009002559644,12.805647685735273,15.787420284646181,0.6130836341877095,0.1972384333509813
2024-10-17 11:40:00,3.0177215344160597,9.282722930983462,12.243617541693117,15.03846901153461,0.6172651567033551,0.20066680538434106
2024-10-17 11:50:00,2.9145046578475116,8.895350078886484,11.706953491092511,14.348337080615886,0.6199568653083707,0.20312490858504487
2024-10-17 12:00:00,2.857420560407546,8.588665102087866,11.26888895119237,13.484994220255881,0.6369053602697721,0.21189631331954145
