,1 um,2.5 um,4 um,10 um,2.5/10,1/10
Background,0.27675221921886034,1.1516624305819503,2.3206886854666444,3.3991623585344475,0.33880771469783244,0.08141777003502192
Increase,166.46908010904002,1864.656958005871,3106.76559383802,3652.6161089052816,0.5104990238256173,0.04557530141291857
2024-10-16 15:00:00,494.7775930419018,6615.896559603904,12437.591400107822,14344.919761119365,0.4612013639515577,0.034491485576862733
2024-10-16 15:10:00,500.5504323182907,6569.732604334204,12382.825745322947,14400.34162264733,0.45622060757239435,0.03475962205862381
2024-10-16 15:20:00,514.1569830769913,6597.8064398965535,12658.81922343961,14990.771397480958,0.44012454495872344,0.03429823385629041
2024-10-16 15:30:00,523.4628731105372,6652.281405324802,13083.909377246044,15801.663823099252,0.42098613663710127,0.03312707313424341
