,2024-09-17 LCS0076 time start,2024-09-17 LCS0076 time end,2024-09-17 LCS0076,2024-09-17 LCS0104 time start,2024-09-17 LCS0104 time end,2024-09-17 LCS0104
0,2024-09-17 11:40:00,2024-09-17 11:52:00,61.12071512258488,2024-09-17 11:40:00,2024-09-17 11:52:00,54.777909360031394
1,2024-09-17 11:58:00,2024-09-17 12:05:00,82.34666534994255,2024-09-17 11:58:00,2024-09-17 12:05:00,61.72612209995105
2,2024-09-17 12:47:00,2024-09-17 12:54:00,67.55307047135378,2024-09-17 12:47:00,2024-09-17 12:54:00,68.74715584318179
3,2024-09-17 13:00:00,2024-09-17 13:15:00,87.63879392599023,2024-09-17 13:00:00,2024-09-17 13:15:00,78.64310335955786
4,2024-09-17 13:34:00,2024-09-17 13:49:00,56.13930218676684,2024-09-17 13:34:00,2024-09-17 13:49:00,54.579371899894866
5,2024-09-17 13:52:00,2024-09-17 14:07:00,88.07616485483703,2024-09-17 13:52:00,2024-09-17 14:07:00,64.86821076890651
6,2024-09-17 14:10:00,2024-09-17 14:25:00,73.21736243313805,2024-09-17 14:10:00,2024-09-17 14:25:00,82.19234441028262
7,2024-09-17 14:28:00,2024-09-17 14:43:00,58.75815294658464,2024-09-17 14:28:00,2024-09-17 14:43:00,53.62847348038671
8,2024-09-17 14:46:00,2024-09-17 00:00:00,,2024-09-17 14:46:00,2024-09-17 15:01:00,93.58877159198023
9,2024-09-17 00:00:00,2024-09-17 15:19:00,24.47906698918275,2024-09-17 15:04:00,2024-09-17 15:19:00,89.05892023797213
10,2024-09-17 15:22:00,2024-09-17 00:00:00,,2024-09-17 15:22:00,2024-09-17 15:36:00,74.02091184190856
11,2024-09-17 00:00:00,2024-09-17 15:53:00,26.167392254464577,2024-09-17 15:44:00,2024-09-17 15:53:00,74.30983480714767
12,2024-09-17 00:00:00,2024-09-17 16:24:00,27.21207440596335,2024-09-17 16:09:00,2024-09-17 16:24:00,52.31175856740023
13,2024-09-17 16:27:00,2024-09-17 16:42:00,56.210645760712396,2024-09-17 16:27:00,2024-09-17 16:42:00,47.1019008395955
14,2024-09-17 16:45:00,2024-09-17 17:00:00,60.528637008913,2024-09-17 16:45:00,2024-09-17 17:00:00,69.52887964016097
15,2024-09-17 17:03:00,2024-09-17 17:18:00,60.25479413067716,2024-09-17 17:03:00,2024-09-17 17:18:00,68.29421205632698
16,2024-09-17 17:21:00,2024-09-17 17:36:00,86.41813011535284,2024-09-17 17:21:00,2024-09-17 00:00:00,
17,2024-09-17 17:39:00,2024-09-17 17:54:00,82.74483871718319,2024-09-17 00:00:00,2024-09-17 17:54:00,29.30754207946086
18,2024-09-17 00:00:00,2024-09-17 18:30:00,32.28684086416088,2024-09-17 18:19:00,2024-09-17 18:30:00,71.29850880532653
