,dm5_20240919_1142,dm1_20240919_1140
0,2929.5555555555557,2412.6666666666665
1,12213.683333333332,11822.933333333332
2,6677.895833333333,8425.1
3,27126.28888888889,32179.48888888889
4,69908.72222222222,57457.188888888886
5,35973.873873873876,34251.77702702703
6,26816.15625,17717.71875
7,29218.355555555554,21916.844444444443
8,130791.70833333333,114497.8125
9,22913.00980392157,22665.93137254902
10,62815.40625,24862.0
